username,followers_count,following_count,posts_count,engagement_rate,avg_views,avg_likes,avg_comments,avg_shares,avg_saves,followers_14d_ago,followers_growth_14d,followers_growth_rate_14d,posts_count_14d,is_verified
lourikimohamed,148288,200,593,0.5,2614,717,30,37,59,148442,-154,-0.1,0,false
the9o9o,7789,3149,322,7.63,2075,578,15,29,47,7789,0,0.0,0,false
lifewithayajabri,295554,1260,134,17.72,183284,52154,213,2618,4189,296328,-774,-0.26,0,false
kennedyclairewalsh,1725402,473,393,8.3,501179,142737,457,7159,11455,1726702,-1300,-0.08,0,false
nadzsnacks,330886,275,605,2.11,24486,6885,111,349,559,329386,1500,0.46,0,false
manalbenchlikha,4632682,1149,151,2.91,471523,133793,928,6736,10777,4596682,36000,0.78,0,false
ibtissam_fajar,19422,2073,373,1.18,798,207,21,11,18,19440,-18,-0.09,0,false
saifbenniss,2089,338,1,3.26,238,65,3,3,5,2089,0,0.0,0,false
simbarashecha,34787,248,474,0.27,325,91,2,4,7,34346,441,1.28,0,false
badgalberry,29820,825,5,4.15,4333,1202,36,61,99,29857,-37,-0.12,0,false
tasnim_cheham_officiel,314430,880,64,21.89,240852,68267,548,3440,5505,312430,2000,0.64,0,false
aitamonamour,66562,1260,421,0.8,1869,512,22,26,42,66562,0,0.0,0,false
soultanahmed,114116,7293,981,1.96,7840,2188,52,112,179,114559,-443,-0.39,0,false
kohinor.hotelspa,5547,1234,192,1.13,217,61,1,3,4,5547,0,0.0,0,false
niveacavalcannte,500881,975,1229,3.81,66801,18988,98,954,1526,501625,-744,-0.15,0,false
mohamed_alouane,2807,1925,149,13.74,1347,361,24,19,30,2807,0,0.0,0,false
myshala.ma,13884,986,475,0.17,80,22,1,1,1,13843,41,0.3,0,false
lady_skalli,367779,1593,388,2.78,35840,10038,202,512,819,360179,7600,2.11,0,false
scary.strawberry,10046,841,159,6.56,2303,593,65,32,52,10071,-25,-0.25,0,false
majdajarbili,6941,5998,172,5.43,1319,355,22,18,30,6941,0,0.0,0,false
_saad.berrada_,5684,1592,1,67.33,13394,3770,57,191,306,5698,-14,-0.25,0,false
melo_melo_art,2993,1429,22,9.72,1018,277,14,14,23,2986,7,0.23,0,false
hakeemerajai,18743,782,21,0.02,7,2,0,1,1,18743,0,0.0,0,false
samifekkak,84277,2350,338,1.31,3853,1023,78,55,88,84514,-237,-0.28,0,false
saocurious,212226,1061,275,2.59,19211,5396,93,274,439,212513,-287,-0.14,0,false
hassan.baraka,32407,2751,733,0.64,721,200,6,10,16,32451,-44,-0.14,0,false
ahmed.ahed1,13160,2826,6,0.41,189,54,0,2,4,13160,0,0.0,0,false
oumnia_chefchaouni_officiel_,513201,810,161,3.07,55209,15664,110,788,1261,512101,1100,0.21,0,false
shera,1306679,818,2711,1.79,81690,23001,339,1167,1867,1308479,-1800,-0.14,0,false
ghadfa_,9288,1461,0,0.0,0,0,0,0,0,9288,0,0.0,0,false
s.elbeloui,666361,1487,236,0.13,2999,798,59,42,68,666109,252,0.04,0,false
linayahyaoui,707162,1177,212,4.87,120540,34091,349,1722,2755,704462,2700,0.38,0,false
tarik_elboukhari,672891,1282,87,0.81,19043,4985,456,272,435,672891,0,0.0,0,false
lenamahfouf,5021317,1050,9,3.26,572425,162458,1092,8177,13084,4996317,25000,0.5,0,false
alichuree,771405,788,481,2.8,75586,20758,838,1079,1727,767705,3700,0.48,0,false
grossomodo._,361783,763,167,0.74,9348,2597,74,133,213,359883,1900,0.53,0,false
lauratravelbook,275179,254,477,3.45,33194,9351,133,474,758,274781,398,0.14,0,false
anasbenniss,167926,1141,12,19.22,112938,32029,239,1613,2581,168236,-310,-0.18,0,false
karim.elhamri,4302,969,149,4.81,721,201,5,10,16,4316,-14,-0.32,0,false
yassmine_chatrab,50216,3248,320,4.01,7042,1964,48,100,160,48416,1800,3.72,0,false
lateralus_ink,11144,2245,103,2.89,1123,297,24,16,25,11144,0,0.0,0,false
duojourneys,61071,433,280,2.48,5306,1474,42,75,121,60618,453,0.75,0,false
houda.fonone,28276,1028,297,0.24,231,61,5,3,5,28276,0,0.0,0,false
fromcarlyb,143723,1976,547,2.45,12320,3470,50,176,281,143218,505,0.35,0,false
mohamed.charmougue,357620,479,117,6.81,85256,24013,346,1217,1948,357030,590,0.17,0,false
glowbymimi_,141067,967,854,2.49,12299,3507,7,175,281,138867,2200,1.58,0,false
rimkadiriofficiel,417844,1264,185,0.65,9520,2607,113,136,217,418093,-249,-0.06,0,false
artefr,2538496,515,9690,0.48,43064,12063,241,615,984,2515496,23000,0.91,0,false
littlebodybigheart,14199028,195,68,7.86,3905328,1096479,19329,55790,89264,14217028,-18000,-0.13,0,false
gaellegd,1614271,646,857,3.01,170082,48400,195,2429,3887,1613623,648,0.04,0,false
ssamiha,238605,2670,1352,1.17,9761,2642,147,139,223,238268,337,0.14,0,false
