username,followers_count,following_count,posts_count,engagement_rate,avg_views,avg_likes,avg_comments,avg_shares,avg_saves,followers_14d_ago,followers_growth_14d,followers_growth_rate_14d,posts_count_14d,is_verified
ladyinda90s,840,1521,145,9.38,273,72,6,3,6,841,-1,-0.12,0,false
eyesofnasser,21021,2135,34,12.58,9254,2580,64,132,211,21073,-52,-0.25,0,false
malsali_luxurybrands,46261,73,412,0.05,77,22,0,1,1,46261,0,0.0,0,false
zinebbenharbit,5748,1845,94,12.79,2569,684,50,36,58,4648,1100,23.67,0,false
